wavelength_um,n_real,k_imag
0.2,1.451724,1.101000e-07
0.2051,1.442296,6.711000e-08
0.2099,1.434685,3.844000e-08
0.2148,1.427828,1.999000e-08
0.2198,1.421603,1.270000e-08
0.2249,1.415921,1.158000e-08
0.2301,1.410702,1.101000e-08
0.235,1.406358,1.071000e-08
0.2399,1.402321,1.049000e-08
0.2449,1.398535,9.904000e-09
0.25,1.394993,9.307000e-09
0.2553,1.391674,8.606000e-09
0.26,1.388881,7.994000e-09
0.2649,1.386239,7.444000e-09
0.2698,1.383726,6.852000e-09
0.2748,1.381341,6.292000e-09
0.2799,1.379072,5.791000e-09
0.2851,1.376902,5.405000e-09
0.2897,1.375086,4.795000e-09
0.2951,1.373098,4.403000e-09
0.2999,1.371437,4.148000e-09
0.3048,1.369839,3.826000e-09
0.3097,1.368287,3.546000e-09
0.3148,1.366812,3.325000e-09
0.3199,1.365376,3.190000e-09
0.3251,1.363990,3.082000e-09
0.3304,1.362616,2.984000e-09
0.335,1.361513,2.883000e-09
0.3396,1.360441,2.766000e-09
0.3451,1.359231,2.653000e-09
0.3499,1.358224,2.528000e-09
0.3548,1.357247,2.420000e-09
0.3597,1.356295,2.316000e-09
0.3648,1.355370,2.217000e-09
0.3698,1.354470,2.117000e-09
0.375,1.353594,2.031000e-09
0.3802,1.352740,1.940000e-09
0.3846,1.352046,1.840000e-09
0.3899,1.351231,1.761000e-09
0.3954,1.350438,1.663000e-09
0.3999,1.349793,1.580000e-09
0.4046,1.349159,1.489000e-09
0.4102,1.348417,1.422000e-09
0.415,1.347811,1.339000e-09
0.4198,1.347219,1.258000e-09
0.4246,1.346636,1.169000e-09
0.4295,1.346066,1.088000e-09
0.4345,1.345505,1.018000e-09
0.4395,1.344956,9.393000e-10
0.4446,1.344418,8.685000e-10
0.4498,1.343889,8.087000e-10
0.455,1.343368,7.795000e-10
0.4603,1.342858,7.600000e-10
0.4645,1.342455,7.495000e-10
0.4699,1.341961,7.291000e-10
0.4753,1.341475,7.011000e-10
0.4797,1.341093,7.092000e-10
0.4853,1.340620,7.158000e-10
0.4898,1.340248,7.342000e-10
0.4955,1.339791,7.849000e-10
0.5,1.339430,9.243000e-10
0.5047,1.339073,1.078000e-09
0.5105,1.338635,1.267000e-09
0.5152,1.338288,1.461000e-09
0.52,1.337944,1.570000e-09
0.5248,1.337607,1.640000e-09
0.5297,1.337273,1.757000e-09
0.5346,1.336943,1.887000e-09
0.5395,1.336615,2.098000e-09
0.5445,1.336292,2.269000e-09
0.5495,1.335972,2.442000e-09
0.5546,1.335656,2.659000e-09
0.5598,1.335344,2.869000e-09
0.5649,1.335035,3.132000e-09
0.5702,1.334729,3.434000e-09
0.5754,1.334425,3.844000e-09
0.5794,1.334200,4.434000e-09
0.5848,1.333902,5.221000e-09
0.5902,1.333609,6.365000e-09
0.5957,1.333316,7.723000e-09
0.5998,1.333100,9.634000e-09
0.6053,1.332813,1.132000e-08
0.6095,1.332598,1.238000e-08
0.6152,1.332317,1.330000e-08
0.6194,1.332106,1.399000e-08
0.6252,1.331826,1.472000e-08
0.6295,1.331619,1.502000e-08
0.6353,1.331345,1.552000e-08
0.6397,1.331144,1.570000e-08
0.6457,1.330877,1.606000e-08
0.6501,1.330683,1.674000e-08
0.6546,1.330490,1.777000e-08
0.6607,1.330238,1.940000e-08
0.6653,1.330052,2.031000e-08
0.6699,1.329869,2.098000e-08
0.6745,1.329690,2.177000e-08
0.6808,1.329452,2.300000e-08
0.6855,1.329278,2.471000e-08
0.6902,1.329106,2.653000e-08
0.695,1.328938,2.963000e-08
0.6998,1.328769,3.348000e-08
0.7047,1.328603,4.100000e-08
0.7096,1.328440,4.998000e-08
0.7145,1.328279,5.995000e-08
0.7194,1.328120,7.291000e-08
0.7244,1.327963,9.137000e-08
0.7295,1.327808,1.150000e-07
0.7345,1.327652,1.348000e-07
0.7396,1.327502,1.458000e-07
0.7447,1.327350,1.530000e-07
0.7499,1.327201,1.559000e-07
0.7551,1.327055,1.580000e-07
0.7603,1.326909,1.580000e-07
0.7656,1.326764,1.570000e-07
0.7691,1.326667,1.527000e-07
0.7745,1.326524,1.478000e-07
0.7798,1.326382,1.409000e-07
0.7852,1.326244,1.339000e-07
0.7907,1.326104,1.282000e-07
0.7943,1.326012,1.258000e-07
0.7998,1.325874,1.250000e-07
0.8054,1.325739,1.270000e-07
0.8091,1.325648,1.330000e-07
0.8147,1.325512,1.448000e-07
0.8204,1.325379,1.621000e-07
0.8241,1.325290,1.819000e-07
0.8299,1.325157,2.041000e-07
0.8356,1.325025,2.243000e-07
0.8395,1.324937,2.459000e-07
0.8453,1.324805,2.690000e-07
0.8492,1.324718,2.929000e-07
0.8551,1.324590,3.153000e-07
0.859,1.324502,3.348000e-07
0.865,1.324373,3.546000e-07
0.871,1.324244,3.748000e-07
0.875,1.324159,3.907000e-07
0.879,1.324074,4.053000e-07
0.8851,1.323946,4.234000e-07
0.8892,1.323859,4.403000e-07
0.8954,1.323732,4.622000e-07
0.8995,1.323648,4.862000e-07
0.9057,1.323520,5.150000e-07
0.9099,1.323434,5.699000e-07
0.9141,1.323351,6.696000e-07
0.9204,1.323222,8.304000e-07
0.9247,1.323138,1.060000e-06
0.929,1.323054,1.368000e-06
0.9354,1.322926,1.771000e-06
0.9397,1.322842,2.169000e-06
0.9441,1.322757,2.557000e-06
0.9506,1.322630,2.932000e-06
0.955,1.322546,3.190000e-06
0.9594,1.322462,3.358000e-06
0.9661,1.322333,3.464000e-06
0.9705,1.322249,3.502000e-06
0.975,1.322165,3.480000e-06
0.9795,1.322080,3.418000e-06
0.984,1.321994,3.336000e-06
0.9908,1.321866,3.253000e-06
0.9954,1.321780,3.131000e-06
1,1.321695,3.000000e-06
1.009,1.321521,2.688000e-06
1.021,1.321303,2.352000e-06
1.03,1.321128,2.001000e-06
1.04,1.320952,1.690000e-06
1.05,1.320775,1.419000e-06
1.059,1.320596,1.299000e-06
1.069,1.320416,1.259000e-06
1.079,1.320233,1.329000e-06
1.089,1.320051,1.499000e-06
1.099,1.319865,1.708000e-06
1.109,1.319678,2.038000e-06
1.119,1.319488,2.628000e-06
1.13,1.319296,3.869000e-06
1.14,1.319103,5.951000e-06
1.151,1.318909,9.306000e-06
1.159,1.318763,1.069000e-05
1.169,1.318566,1.120000e-05
1.18,1.318366,1.160000e-05
1.191,1.318162,1.181000e-05
1.199,1.318008,1.199000e-05
1.211,1.317799,1.191000e-05
1.219,1.317641,1.179000e-05
1.23,1.317427,1.160000e-05
1.239,1.317263,1.139000e-05
1.25,1.317042,1.100000e-05
1.259,1.316873,1.079000e-05
1.271,1.316645,1.090000e-05
1.279,1.316470,1.139000e-05
1.291,1.316233,1.221000e-05
1.3,1.316052,1.400000e-05
1.309,1.315868,1.639000e-05
1.321,1.315618,1.912000e-05
1.33,1.315425,2.251000e-05
1.34,1.315228,2.849000e-05
1.349,1.315031,4.047000e-05
1.361,1.314760,4.505000e-05
1.371,1.314547,5.804000e-05
1.38,1.314329,7.802000e-05
1.39,1.314104,1.060000e-04
1.4,1.313871,1.530000e-04
1.409,1.313671,2.540000e-04
1.419,1.313518,3.197000e-04
1.429,1.313373,3.538000e-04
1.439,1.313220,3.629000e-04
1.449,1.313055,3.637000e-04
1.459,1.312888,3.604000e-04
1.469,1.312715,3.387000e-04
1.479,1.312525,3.018000e-04
1.489,1.312318,2.659000e-04
1.5,1.312093,2.248000e-04
1.51,1.311852,1.958000e-04
1.521,1.311604,1.741000e-04
1.531,1.311352,1.602000e-04
1.542,1.311097,1.441000e-04
1.549,1.310923,1.348000e-04
1.56,1.310659,1.240000e-04
1.57,1.310387,1.140000e-04
1.581,1.310114,1.071000e-04
1.589,1.309928,9.940000e-05
1.6,1.309642,9.347000e-05
1.611,1.309352,8.804000e-05
1.622,1.309055,8.310000e-05
1.629,1.308855,8.096000e-05
1.641,1.308548,7.903000e-05
1.648,1.308341,7.591000e-05
1.66,1.308021,7.398000e-05
1.671,1.307672,7.404000e-05
1.679,1.307435,7.495000e-05
1.69,1.307073,7.601000e-05
1.698,1.306829,7.743000e-05
1.71,1.306453,8.050000e-05
1.722,1.306070,8.410000e-05
1.73,1.305809,8.900000e-05
1.742,1.305413,9.510000e-05
1.75,1.305142,1.000000e-04
1.762,1.304727,1.051000e-04
1.77,1.304442,1.120000e-04
1.778,1.304155,1.219000e-04
1.791,1.303718,1.330000e-04
1.799,1.303418,1.359000e-04
1.811,1.302947,1.371000e-04
1.82,1.302616,1.380000e-04
1.828,1.302269,1.418000e-04
1.841,1.301709,1.552000e-04
1.849,1.301291,1.861000e-04
1.862,1.300633,3.205000e-04
1.871,1.300214,5.209000e-04
1.879,1.299860,7.224000e-04
1.888,1.299545,9.221000e-04
1.901,1.298998,1.161000e-03
1.91,1.298791,1.678000e-03
1.919,1.298793,1.827000e-03
1.932,1.298681,1.922000e-03
1.941,1.298590,1.909000e-03
1.95,1.298472,1.848000e-03
1.959,1.298308,1.717000e-03
1.968,1.298051,1.548000e-03
1.982,1.297607,1.402000e-03
1.991,1.297292,1.250000e-03
2,1.296913,1.101000e-03
2.009,1.296499,9.904000e-04
2.018,1.296066,8.888000e-04
2.028,1.295606,8.050000e-04
2.042,1.294919,7.392000e-04
2.051,1.294457,6.742000e-04
2.061,1.293973,6.206000e-04
2.07,1.293476,5.725000e-04
2.08,1.292966,5.294000e-04
2.089,1.292438,4.884000e-04
2.099,1.291899,4.643000e-04
2.109,1.291353,4.403000e-04
2.118,1.290795,4.176000e-04
2.128,1.290221,3.970000e-04
2.138,1.289634,3.826000e-04
2.148,1.289033,3.705000e-04
2.158,1.288418,3.587000e-04
2.168,1.287787,3.506000e-04
2.178,1.287139,3.434000e-04
2.188,1.286474,3.395000e-04
2.198,1.285790,3.379000e-04
2.208,1.285087,3.387000e-04
2.218,1.284365,3.410000e-04
2.228,1.283619,3.458000e-04
2.239,1.282852,3.571000e-04
2.249,1.282064,3.739000e-04
2.259,1.281256,3.898000e-04
2.27,1.280421,4.081000e-04
2.28,1.279561,4.293000e-04
2.291,1.278675,4.506000e-04
2.301,1.277755,4.686000e-04
2.312,1.276797,4.918000e-04
2.317,1.276305,5.114000e-04
2.328,1.275295,5.430000e-04
2.339,1.274257,5.995000e-04
2.35,1.273184,6.365000e-04
2.36,1.272062,6.852000e-04
2.371,1.270902,7.427000e-04
2.382,1.269682,7.921000e-04
2.388,1.269059,8.488000e-04
2.399,1.267787,9.095000e-04
2.41,1.266450,9.904000e-04
2.421,1.265059,1.071000e-03
2.432,1.263577,1.150000e-03
2.438,1.262824,1.250000e-03
2.449,1.261297,1.348000e-03
2.46,1.259683,1.472000e-03
2.472,1.257969,1.580000e-03
2.477,1.257102,1.709000e-03
2.489,1.255347,1.810000e-03
2.5,1.253465,1.900000e-03
2.512,1.251445,1.953000e-03
2.518,1.250383,1.990000e-03
2.529,1.248127,2.017000e-03
2.541,1.245672,2.069000e-03
2.553,1.243014,2.142000e-03
2.564,1.240167,2.269000e-03
2.57,1.238670,2.311000e-03
2.576,1.237089,2.338000e-03
2.582,1.235426,2.387000e-03
2.588,1.233679,2.425000e-03
2.594,1.231834,2.476000e-03
2.606,1.227769,2.575000e-03
2.612,1.225483,2.703000e-03
2.618,1.223082,2.977000e-03
2.624,1.220535,3.302000e-03
2.63,1.218078,4.016000e-03
2.636,1.215699,4.363000e-03
2.649,1.209954,4.828000e-03
2.655,1.206519,5.368000e-03
2.661,1.202951,6.278000e-03
2.667,1.199289,7.325000e-03
2.673,1.195340,8.547000e-03
2.679,1.191390,1.049000e-02
2.685,1.188087,1.270000e-02
2.698,1.179962,1.451000e-02
2.704,1.174582,1.640000e-02
2.71,1.168874,1.861000e-02
2.716,1.160993,2.050000e-02
2.723,1.152876,2.817000e-02
2.729,1.149520,3.800000e-02
2.742,1.142068,4.622000e-02
2.748,1.136183,5.480000e-02
2.754,1.132860,6.483000e-02
2.761,1.131711,7.444000e-02
2.767,1.132778,8.352000e-02
2.78,1.130913,9.285000e-02
2.786,1.127959,1.020000e-01
2.793,1.127558,1.119000e-01
2.799,1.129478,1.210000e-01
2.812,1.128413,1.312000e-01
2.818,1.125532,1.422000e-01
2.825,1.125351,1.541000e-01
2.831,1.127523,1.670000e-01
2.838,1.133346,1.798000e-01
2.851,1.142386,1.940000e-01
2.858,1.145545,2.060000e-01
2.864,1.152284,2.182000e-01
2.871,1.162372,2.290000e-01
2.884,1.178446,2.392000e-01
2.891,1.185419,2.493000e-01
2.897,1.195889,2.581000e-01
2.904,1.208002,2.647000e-01
2.917,1.229654,2.715000e-01
2.924,1.240033,2.759000e-01
2.931,1.252073,2.798000e-01
2.938,1.263935,2.804000e-01
2.951,1.285942,2.824000e-01
2.958,1.297762,2.817000e-01
2.965,1.307891,2.785000e-01
2.979,1.326310,2.759000e-01
2.985,1.334533,2.721000e-01
2.999,1.352917,2.721000e-01
3.048,1.411876,2.398000e-01
3.097,1.452013,1.918000e-01
3.148,1.466753,1.348000e-01
3.199,1.461522,9.243000e-02
3.251,1.449409,6.106000e-02
3.304,1.432585,3.688000e-02
3.35,1.417064,2.611000e-02
3.396,1.404875,1.949000e-02
3.451,1.393260,1.321000e-02
3.499,1.384213,9.393000e-03
3.548,1.376092,6.789000e-03
3.597,1.368863,5.150000e-03
3.648,1.362546,4.234000e-03
3.698,1.356937,3.596000e-03
3.75,1.351891,3.402000e-03
3.802,1.347393,3.402000e-03
3.846,1.343958,3.530000e-03
3.899,1.340174,3.800000e-03
3.954,1.336658,4.157000e-03
3.999,1.333929,4.600000e-03
4.046,1.331403,5.067000e-03
4.102,1.328504,5.621000e-03
4.15,1.326183,6.220000e-03
4.198,1.323997,6.883000e-03
4.246,1.321906,7.600000e-03
4.295,1.319948,8.449000e-03
4.345,1.318113,9.307000e-03
4.395,1.316398,1.030000e-02
4.446,1.314920,1.140000e-02
4.498,1.313587,1.238000e-02
4.55,1.312483,1.361000e-02
4.603,1.311785,1.472000e-02
4.645,1.311588,1.548000e-02
4.699,1.311451,1.570000e-02
4.753,1.311148,1.552000e-02
4.797,1.310657,1.499000e-02
4.853,1.309721,1.441000e-02
4.898,1.308720,1.370000e-02
4.955,1.307228,1.312000e-02
5,1.305885,1.241000e-02
